user,team,week,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,hardsh!t,ao_list
Dauber,Comet,5,,,,,,,,,,,,,
Dauber,Comet,6,,,,,,,,,,,,,
Fire Hose,Comet,0,,3,,,5,,,5,,,,,the-colosseum
Fire Hose,Comet,1,,,,,,,,,3,,,,
Fire Hose,Comet,2,,,,,,,,,,,,,
Fire Hose,Comet,3,,,,,,,,,,,,,
Fire Hose,Comet,4,,,,,,,,,,,,,
Fire Hose,Comet,5,,,,,,,,,,,,,
Fire Hose,Comet,6,,,,,,,,,,,,,
Frontier,Comet,0,3,6,,,5,3,,5,,,,,the-colosseum
Frontier,Comet,1,12,9,,,,,5,5,3,,,10,"el-coyote, the-olympiad"
Frontier,Comet,2,,,,,,,,,,,,,
Frontier,Comet,3,,,,,,,,,,,,,
Frontier,Comet,4,,,,,,,,,,,,,
Frontier,Comet,5,,,,,,,,,,,,,
Frontier,Comet,6,,,,,,,,,,,,,
Happy Camper,Comet,0,,6,,,,3,,5,,,,,the-colosseum
Happy Camper,Comet,1,11,15,,,,,5,,3,1,,,"da-grizz, dmz, the-ridge, the-silo"
Happy Camper,Comet,2,,,,,,,,,,,,,
Happy Camper,Comet,3,,,,,,,,,,,,,
Happy Camper,Comet,4,,,,,,,,,,,,,
Happy Camper,Comet,5,,,,,,,,,,,,,
Happy Camper,Comet,6,,,,,,,,,,,,,
Hatchet (Lizard Q),Comet,0,,6,,,,3,,5,,,,,the-colosseum
Hatchet (Lizard Q),Comet,1,9,15,5,,,,5,,3,,,,"dmz, the-colosseum, the-grove, the-olympiad, the-ridge"
Hatchet (Lizard Q),Comet,2,,,,,,,,,,,,,
Hatchet (Lizard Q),Comet,3,,,,,,,,,,,,,
Hatchet (Lizard Q),Comet,4,,,,,,,,,,,,,
Hatchet (Lizard Q),Comet,5,,,,,,,,,,,,,
Hatchet (Lizard Q),Comet,6,,,,,,,,,,,,,
Heifer,Comet,0,,6,,,,,,5,,,,,the-colosseum
Heifer,Comet,1,,,,,,,,,,,,,
Heifer,Comet,2,,,,,,,,,,,,,
Heifer,Comet,3,,,,,,,,,,,,,
Heifer,Comet,4,,,,,,,,,,,,,
Heifer,Comet,5,,,,,,,,,,,,,
Heifer,Comet,6,,,,,,,,,,,,,
Hot Lava,Comet,0,3,6,,,5,3,,5,,,,,the-colosseum
Hot Lava,Comet,1,12,30,5,8,,,5,5,3,,,10,"black-rock, dmz, el-coyote, the-colosseum, the-olympiad"
Hot Lava,Comet,2,,,,,,,,,,,,,
Hot Lava,Comet,3,,,,,,,,,,,,,
Hot Lava,Comet,4,,,,,,,,,,,,,
Hot Lava,Comet,5,,,,,,,,,,,,,
Hot Lava,Comet,6,,,,,,,,,,,,,
Hot Pants,Comet,0,,,,,,,,,,,,,
Hot Pants,Comet,1,,6,,,,,,,3,,,,the-colosseum
Hot Pants,Comet,2,,,,,,,,,,,,,
Hot Pants,Comet,3,,,,,,,,,,,,,
Hot Pants,Comet,4,,,,,,,,,,,,,
