date,week,Team,user_name,ao,type,points,notes
2024-11-09,1.0,Prancer,Moist,,Around The World,5.0,"('ao-the-silo', 'ao-the-grove', 'ao-dmz', 'ao-the-colosseum', 'ao-da-grizz')"
2024-11-09,1.0,Prancer,Moist,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-11,2.0,Prancer,Moist,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-13,2.0,Prancer,Moist,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-14,2.0,Prancer,Moist,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-14,2.0,Prancer,Moist,3rd-f-qsource,qs,5.0,QS
2024-11-15,2.0,Prancer,Moist,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-15,2.0,Prancer,Moist,2nd-f,2ndf,3.0,Station 1 lunch
2024-11-16,2.0,Prancer,Moist,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-16,2.0,Prancer,Moist,,sixpack bonus,4.0,"('ao-the-grove', 'ao-the-colosseum', 'ao-the-colosseum', 'ao-da-grizz', 'ao-the-ridge', 'ao-the-colosseum')"
2024-11-16,2.0,Prancer,Moist,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-18,3.0,Prancer,Moist,ao-the-grove,workout Q,1.0,Q
2024-11-18,3.0,Prancer,Moist,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-19,3.0,Prancer,Moist,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-20,3.0,Prancer,Moist,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-25,4.0,Prancer,Moist,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-27,4.0,Prancer,Moist,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-12-06,5.0,Prancer,Moist,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-12-10,6.0,Prancer,Moist,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-14,2.0,Comet,Hodl,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-15,2.0,Comet,Hodl,2nd-f,2ndf,3.0,Station 1 lunch
2024-11-15,2.0,Comet,Hodl,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-16,2.0,Comet,Hodl,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-18,3.0,Comet,Hodl,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-19,3.0,Comet,Hodl,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-20,3.0,Comet,Hodl,ao-the-silo,1stf,3.0,ao-the-silo
2024-11-23,3.0,Comet,Hodl,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-25,4.0,Comet,Hodl,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-26,4.0,Comet,Hodl,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-27,4.0,Comet,Hodl,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-28,4.0,Comet,Hodl,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-30,4.0,Comet,Hodl,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-30,4.0,Comet,Hodl,,Around The World,5.0,"('ao-the-olympiad', 'ao-the-grove', 'ao-the-colosseum', 'ao-the-ridge', 'ao-da-grizz')"
2024-11-30,4.0,Comet,Hodl,,sixpack bonus,4.0,"('ao-the-grove', 'ao-the-ridge', 'ao-the-ridge', 'ao-the-olympiad', 'ao-the-colosseum', 'ao-da-grizz')"
2024-11-30,4.0,Comet,Hodl,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-12-02,5.0,Comet,Hodl,ao-the-grove,1stf,3.0,ao-the-grove
2024-12-03,5.0,Comet,Hodl,ao-dmz,1stf,3.0,ao-dmz
2024-12-04,5.0,Comet,Hodl,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-12-06,5.0,Comet,Hodl,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-12-07,5.0,Comet,Hodl,,Around The World,5.0,"('ao-ravens-nest', 'ao-the-grove', 'ao-dmz', 'ao-the-colosseum', 'ao-da-grizz')"
2024-12-07,5.0,Comet,Hodl,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-12-09,6.0,Comet,Hodl,ao-the-grove,1stf,3.0,ao-the-grove
2024-12-10,6.0,Comet,Hodl,2nd-f,2ndf,3.0,RDG
2024-12-11,6.0,Comet,Hodl,ao-ravens-nest,workout Q,1.0,Q
2024-12-11,6.0,Comet,Hodl,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-11-02,0.0,Dancer,Ricochet,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-02,0.0,Dancer,Ricochet,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-04,1.0,Dancer,Ricochet,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-05,1.0,Dancer,Ricochet,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-06,1.0,Dancer,Ricochet,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-11-07,1.0,Dancer,Ricochet,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-08,1.0,Dancer,Ricochet,,Around The World,5.0,"('ao-ravens-nest', 'ao-the-olympiad', 'ao-the-grove', 'ao-the-colosseum', 'ao-the-ridge')"
2024-11-08,1.0,Dancer,Ricochet,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-11,2.0,Dancer,Ricochet,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-12,2.0,Dancer,Ricochet,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-13,2.0,Dancer,Ricochet,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-14,2.0,Dancer,Ricochet,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-18,3.0,Dancer,Ricochet,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-19,3.0,Dancer,Ricochet,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-19,3.0,Dancer,Ricochet,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-20,3.0,Dancer,Ricochet,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-11-21,3.0,Dancer,Ricochet,3rd-f-qsource,qs,5.0,QS
2024-11-21,3.0,Dancer,Ricochet,,Around The World,5.0,"('ao-ravens-nest', 'ao-el-coyote', 'ao-the-olympiad', 'ao-the-grove', 'ao-the-colosseum')"
2024-11-21,3.0,Dancer,Ricochet,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-22,3.0,Dancer,Ricochet,,sixpack bonus,4.0,"('ao-the-grove', 'ao-the-colosseum', 'ao-el-coyote', 'ao-ravens-nest', 'ao-the-olympiad', 'ao-the-olympiad')"
