Date,AO,Q,parsed_backblast,region
"Jun 22, 2024",downrange,Slackbot,"F3 Wheaton at Flat Earth - Ultimate Football
DATE: 2",f3crossroads
"Jun 22, 2024",downrange,Jellystone,"F3 Wheaton at The Mastadon - Jellystone Q
DATE: 2024",f3crossroads
"Jun 21, 2024",ao-the-colosseum,Caboose,"There N Back
DATE: 2024-06-21
AO: ao-the-colosseum
Q",f3crossroads
"Jun 21, 2024",ao-three-rivers,Crabgrass,"Kickball
DATE: 2024-06-21
AO: ao-three-rivers
Q: Cra",f3crossroads
"Jun 21, 2024",ao-da-grizz,Cinderella,"Cinderella found his boot 
DATE: 2024-06-21
AO: ao-d",f3crossroads
"Jun 21, 2024",ao-the-olympiad,LaRussa,"Confusion on the Track
DATE: 2024-06-21
AO: ao-the-o",f3crossroads
"Jun 21, 2024",ao-the-ridge,Blue Gill,"Bluegill’s Friday Fun Day at TR
DATE: 2024-06-21
AO:",f3crossroads
"Jun 21, 2024",downrange,Slackbot,"In the land land of Cheeseheads
DATE: 2024-06-21
AO:",f3crossroads
"Jun 20, 2024",ao-the-colosseum,Meta,"Metas Tired
DATE: 2024-06-20
AO: ao-the-colosseum
Q:",f3crossroads
"Jun 20, 2024",ao-three-rivers,Rooney,"That was Sweaty
DATE: 2024-06-20
AO: ao-three-rivers",f3crossroads
"Jun 20, 2024",ao-black-diamond,Picasso,"Disruption/Give it Away
DATE: 2024-06-20
AO: ao-blac",f3crossroads
"Jun 20, 2024",ao-the-ridge,Foundation,"Travel The Ridge AO Beat Down
DATE: 2024-06-20
AO: a",f3crossroads
"Jun 20, 2024",3rd-f-qsource,GrubX (CMW),"QSource - Correction 6/20
DATE: 2024-06-20
AO: 3rd-f",f3crossroads
"Jun 20, 2024",2nd-f-coffeteria,Gisele -,"Gisele’s DARK MAGIC Coffee VQ
DATE: 2024-06-20
AO: 2",f3crossroads
"Jun 20, 2024",2nd-f,Gisele -,"A little thirsty Thursday 2nd-F at Big Sammy's
DATE:",f3crossroads
"Jun 20, 2024",ao-the-olympiad,Den Mother,"If you're not running, you're bumming
DATE: 2024-06-",f3crossroads
"Jun 20, 2024",downrange,Slackbot,"WOLF WOLF
DATE: 2024-06-20
AO: downrange
Q: Slackbot",f3crossroads
"Jun 20, 2024",downrange,Ricola,"North vs South at The Grainery 
DATE: 2024-06-20
AO:",f3crossroads
"Jun 19, 2024",2nd-f-coffeteria,Hanger,"Interval running
DATE: 2024-06-19
AO: 2nd-f-coffeter",f3crossroads
"Jun 19, 2024",ao-the-colosseum,Caboose,"Caboose Loves WW3s
DATE: 2024-06-19
AO: ao-the-colos",f3crossroads
"Jun 19, 2024",ao-the-silo,Pull-up,"Pull-up’s DORA
DATE: 2024-06-19
AO: ao-the-silo
Q: P",f3crossroads
"Jun 19, 2024",ao-the-wood,Picasso,"Picassos Age of Man
DATE: 2024-06-19
AO: ao-the-wood",f3crossroads
"Jun 19, 2024",ao-the-ridge,Foundation,"Foundations Run Club
DATE: 2024-06-19
AO: ao-the-rid",f3crossroads
"Jun 19, 2024",ao-three-rivers-pm,Autobahn,"Autobahn temperature rising Dora
DATE: 2024-06-19
AO",f3crossroads
"Jun 19, 2024",ao-ravens-nest,Bob Villa,"Dial 1-800-BOB-VILLA to celebrate post #800
DATE: 20",f3crossroads
"Jun 18, 2024",ao-the-colosseum,Bronco,"Broncos Beatdown
DATE: 2024-06-18
AO: ao-the-colosse",f3crossroads
"Jun 18, 2024",ao-dmz,Bedpan,"Bedpan Pearls
DATE: 2024-06-18
AO: ao-dmz
Q: Bedpan
",f3crossroads
"Jun 18, 2024",ao-black-diamond,Foreclosure,"Foreclosures 100th Q and 500th Post Circus
DATE: 202",f3crossroads
"Jun 18, 2024",ao-three-rivers,Flamingo,"The Letter ""E"" brought to you by Flamingo and the Le",f3crossroads
"Jun 18, 2024",ao-the-ridge,Cutler,"The picnic 
DATE: 2024-06-18
AO: ao-the-ridge
Q: Cut",f3crossroads
"Jun 18, 2024",ao-the-wood,Rooney,"Rooney run club
DATE: 2024-06-18
AO: ao-the-wood
Q: ",f3crossroads
"Jun 18, 2024",ao-el-coyote,Hank Hill,"Heat wave ruck. 
DATE: 2024-06-18
AO: ao-the-colosse",f3crossroads
"Jun 18, 2024",downrange,Slackbot,"F3 Omaha
DATE: 2024-06-18
AO: downrange
Q: Slackbot
",f3crossroads
"Jun 18, 2024",downrange,slackblast,"late start outpost
DATE: 2024-06-18
AO: downrange
Q:",f3crossroads
"Jun 18, 2024",downrange,F3CrossroadsIL,"The Bear Pit City of St. Louis
DATE: 2024-06-18
AO: ",f3crossroads
"Jun 17, 2024",downrange,Slackbot,"DR ruck club @BP
DATE: 2024-06-17
AO: downrange
Q: S",f3crossroads
"Jun 17, 2024",downrange,Tinder,"Tinder School - 75 Hard Workout
DATE: 2024-06-17
AO:",f3crossroads
"Jun 17, 2024",downrange,F3CrossroadsIL,"Murph with F3 Omaha
DATE: 2024-06-17
AO: downrange
Q",f3crossroads
"Jun 17, 2024",ao-the-colosseum,Ecto Cooler,"You will get wet, possibly soaked while riding this ",f3crossroads
"Jun 17, 2024",ao-three-rivers-pm,Shawshank,"Hot hand in the dice game
DATE: 2024-06-17
AO: ao-th",f3crossroads
"Jun 17, 2024",2nd-f-coffeteria,Binford,"Bucks & Coffee
DATE: 2024-06-17
AO: 2nd-f-coffeteria",f3crossroads
"Jun 17, 2024",ao-the-grove,Dilbert,"Dilbert’s Throw Down at The Grove
DATE: 2024-06-17
A",f3crossroads
"Jun 17, 2024",ao-the-ridge,vern,"Another Vern burn
DATE: 2024-06-17
AO: ao-the-ridge
",f3crossroads
"Jun 17, 2024",ao-buck-town,GrubX (CMW),"Rucking 
DATE: 2024-06-17
AO: ao-buck-town
Q: GrubX
",f3crossroads
"Jun 17, 2024",ao-the-wood,Rooney,"NeverMissMonday with Rooney
DATE: 2024-06-17
AO: ao-",f3crossroads
"Jun 16, 2024",2nd-f,Schlitz,"Father's Day Coffee Ruck 
DATE: 2024-06-16
AO: 2nd-f",f3crossroads
"Jun 15, 2024",ao-the-colosseum,Jellystone,"Jelly's ""Hard 22""
DATE: 2024-06-15
AO: ao-the-coloss",f3crossroads
"Jun 15, 2024",ao-the-wood,Jellystone,"Jellystone 11’s with Broga
DATE: 2024-06-15
AO: ao-t",f3crossroads
"Jun 15, 2024",ao-da-grizz,Boomer,"Follow the Boom
DATE: 2024-06-15
AO: ao-da-grizz
Q: ",f3crossroads
"Jun 15, 2024",ao-the-ridge,Chum Bucket,"Chum’s Ultimate Football Game
DATE: 2024-06-15
AO: a",f3crossroads
"Jun 15, 2024",ao-the-wood,FlashBang,"Operation Red Wing Hero Workout.
DATE: 2024-06-15
AO",f3crossroads
"Jun 14, 2024",downrange,Slackbot,"DR run club BP
DATE: 2024-06-14
AO: downrange
Q: Sla",f3crossroads
"Jun 14, 2024",2nd-f-coffeteria,Hanger,"Burpee heaven
DATE: 2024-06-14
AO: 2nd-f-coffeteria
",f3crossroads
"Jun 14, 2024",ao-the-colosseum,Schlitz,"Field of Gnats
DATE: 2024-06-14
AO: ao-the-colosseum",f3crossroads
"Jun 14, 2024",ao-the-ridge,Dear Abby,"Dear Abby’s 500th Post Q!
DATE: 2024-06-14
AO: ao-th",f3crossroads
"Jun 14, 2024",ao-the-olympiad,Cutler,"Cutlers Foggy Stroll
DATE: 2024-06-14
AO: ao-the-oly",f3crossroads
"Jun 14, 2024",ao-three-rivers,Latte,"How to make a 3 Rivers Friday Latte
DATE: 2024-06-14",f3crossroads
"Jun 14, 2024",ao-da-grizz,Dauber,"Dauber Loop
DATE: 2024-06-14
AO: ao-da-grizz
Q: Daub",f3crossroads
"Jun 14, 2024",3rd-f,Hanger,"Pantry Help
DATE: 2024-06-14
AO: 3rd-f
Q: Hanger
PAX",f3crossroads
"Jun 13, 2024",downrange,Slackbot,"The Battery F3 City of St. Louis Mini Murph
DATE: 20",f3crossroads
"Jun 13, 2024",downrange,F3CrossroadsIL,"Brushed up on CPR w/ Stay Puft at Black Panther
DATE",f3crossroads
"Jun 13, 2024",ao-the-colosseum,Foundation,"Foundations Pearl Necklace
DATE: 2024-06-13
AO: ao-t",f3crossroads
"Jun 13, 2024",ao-three-rivers,Flamingo,"Brought to you by the Letter D
DATE: 2024-06-13
AO: ",f3crossroads
"Jun 13, 2024",ao-black-diamond,Gopher,"Gophers Coupon Carry Black Diamond
DATE: 2024-06-13
",f3crossroads
"Jun 13, 2024",ao-the-ridge,Algorithm,"Algorithm 1 year Beat Down
DATE: 2024-06-13
AO: ao-t",f3crossroads
"Jun 13, 2024",3rd-f-qsource,Dauber,"Daubers Accountability QSource Lead
DATE: 2024-06-13",f3crossroads
"Jun 13, 2024",2nd-f-coffeteria,Dilly Dilly,"Mr. Drippy on Q 
DATE: 2024-06-13
AO: 2nd-f-coffeter",f3crossroads
"Jun 13, 2024",2nd-f,Gisele -,"Stanley Cup Watch Party!
DATE: 2024-06-13
AO: 2nd-f
",f3crossroads
"Jun 13, 2024",ao-the-olympiad,Bunker,"Bunker's shoots and LADDERS
DATE: 2024-06-13
AO: ao-",f3crossroads
"Jun 12, 2024",downrange,Slackbot,"Late Start Dark Tower
DATE: 2024-06-12
AO: downrange",f3crossroads
"Jun 12, 2024",downrange,F3CrossroadsIL,F3 City of St. Louis 5 year anniversary The Woodshed,f3crossroads
"Jun 12, 2024",2nd-f-coffeteria,Hanger,"Ruck
DATE: 2024-06-12
AO: 2nd-f-coffeteria
Q: Hanger",f3crossroads
"Jun 12, 2024",2nd-f-coffeteria,Dilly Dilly,"Mr. Drippy on Q
DATE: 2024-06-12
AO: 2nd-f-coffeteri",f3crossroads
"Jun 12, 2024",ao-the-colosseum,Ecto Cooler,"An Ectolent Ruck Club
DATE: 2024-06-12
AO: ao-the-co",f3crossroads
"Jun 12, 2024",ao-ravens-nest,Ozark,"Ozark's Explosive B.O.M.B.S. Workout at the Raven's ",f3crossroads
"Jun 12, 2024",ao-three-rivers-pm,BABYMOMMA,"Babymamas volleyball scorcher
DATE: 2024-06-12
AO: a",f3crossroads
"Jun 12, 2024",ao-the-ridge,Mr. Belding,"Run Club
DATE: 2024-06-12
AO: ao-the-ridge
Q: Mr. Be",f3crossroads
"Jun 12, 2024",ao-the-silo,Cutler,"Cutty does it
DATE: 2024-06-12
AO: ao-the-silo
Q: Cu",f3crossroads
"Jun 12, 2024",ao-the-wood,Flamingo,"Flamingo C's Red at the Wood.
DATE: 2024-06-12
AO: a",f3crossroads
"Jun 12, 2024",2nd-f,Bob Villa,"Bob Villa's Garage Band Brewing Open Mic night!
DATE",f3crossroads
"Jun 11, 2024",downrange,Slackbot,"Southsyeeed! With Dem Boys 
DATE: 2024-06-11
AO: dow",f3crossroads
"Jun 11, 2024",downrange,F3CrossroadsIL,"Get the ruck out St. Louis
DATE: 2024-06-11
AO: down",f3crossroads
"Jun 11, 2024",ao-the-colosseum,Caboose,"Caboose's Beatdown
DATE: 2024-06-11
AO: ao-the-colos",f3crossroads
"Jun 11, 2024",ao-three-rivers,Doogie Howser,"Rx - 4corners once/day
DATE: 2024-06-11
AO: ao-three",f3crossroads
"Jun 11, 2024",ao-black-diamond,Bedpan,"1 Year Anniversary of DMZ BD
DATE: 2024-06-11
AO: ao",f3crossroads
"Jun 11, 2024",ao-the-ridge,Corner Kick,"Hockey Rink Beatdown 
DATE: 2024-06-11
AO: ao-the-ri",f3crossroads
"Jun 11, 2024",ao-dmz,Trickle,"Trickle ladder 1 year DMZ
DATE: 2024-06-11
AO: ao-dm",f3crossroads
"Jun 11, 2024",ao-the-wood,GrubX (CMW),"Tuesday run club
DATE: 2024-06-11
AO: ao-the-wood
Q:",f3crossroads
"Jun 11, 2024",ao-el-coyote,Meta,"Bike Club
DATE: 2024-06-11
AO: ao-the-colosseum-pm
Q",f3crossroads
"Jun 10, 2024",downrange,Slackbot,"DR Ruck Club at BP
DATE: 2024-06-10
AO: downrange
Q:",f3crossroads
"Jun 10, 2024",downrange,Latte,"Latte’s ?️ Tour BeatDown
DATE: 2024-06-10
AO: downra",f3crossroads
"Jun 10, 2024",2nd-f,Norm,"Lalos Tacos!
DATE: 2024-06-10
AO: 2nd-f
Q: Norm
PAX:",f3cha-min-wood
"Jun 10, 2024",ao-the-colosseum,Depends (3rdF Q),"How far we gonna run? Well it Depends...
DATE: 2024-",f3crossroads
"Jun 10, 2024",ao-three-rivers-pm,Norm,"Bags
DATE: 2024-06-10
AO: ao-three-rivers-pm
Q: Norm",f3crossroads
"Jun 10, 2024",ao-buck-town,Autobahn,"Lots of reps
DATE: 2024-06-10
AO: ao-buck-town
Q: Au",f3crossroads
"Jun 10, 2024",ao-the-ridge,TPS Report,"TPS Stations
DATE: 2024-06-10
AO: ao-the-ridge
Q: TP",f3crossroads
"Jun 10, 2024",ao-the-grove,Schlitz,"Schlitz’s soft and predictable bootcamp
DATE: 2024-0",f3crossroads
"Jun 10, 2024",ao-the-wood,Gisele -,"Respect Club
DATE: 2024-06-10
AO: ao-the-wood
Q: Gis",f3crossroads
"Jun 9, 2024",downrange,Tinder,Sunday Ruck and PT at the Boat Launch with special q,f3crossroads
"Jun 9, 2024",2nd-f,Schlitz,"Backblast. Sunday ruck.  2.0 & 4.0 Sunday
DATE: 2024",f3crossroads
"Jun 8, 2024",2nd-f-coffeteria,Manhole,"Manhole V coffee Q
DATE: 2024-06-08
AO: 2nd-f-coffet",f3crossroads
"Jun 8, 2024",ao-the-colosseum,Ecto Cooler,"Ecto Cooler’s Not so ""Little"" Giant Ladder
DATE: 202",f3crossroads
"Jun 8, 2024",ao-the-ridge,Happy Camper,"Bugs and Blood Football
DATE: 2024-06-08
AO: ao-the-",f3crossroads
"Jun 8, 2024",ao-da-grizz,Folgers,"The Best Part of Waking Up VQ
DATE: 2024-06-08
AO: a",f3crossroads
"Jun 8, 2024",ao-the-wood,Foreclosure,"??HERO WORKOUT??
DATE: 2024-06-08
AO: ao-the-wood
Q:",f3crossroads
"Jun 8, 2024",ao-the-wood,Binford,"Binford’s 3:1 Ruck/Ruffle with PT
DATE: 2024-06-08
A",f3crossroads
"Jun 7, 2024",2nd-f-coffeteria,Hanger,"Hangin at 3 Rivers
DATE: 2024-06-07
AO: 2nd-f-coffet",f3crossroads
"Jun 7, 2024",ao-the-colosseum,Caboose,"Cabooses 7 station tireapalooza
DATE: 2024-06-07
AO:",f3crossroads
"Jun 7, 2024",ao-three-rivers,Hanger,"Hangin with Hanger at 3 Rivers
DATE: 2024-06-07
AO: ",f3crossroads
"Jun 7, 2024",ao-da-grizz,Hot Lava,"Lava’s mosey and stations 
DATE: 2024-06-07
AO: ao-d",f3crossroads
"Jun 7, 2024",ao-the-olympiad,Sparkler,"Sparklers Runners Run Club
DATE: 2024-06-07
AO: ao-t",f3crossroads
"Jun 7, 2024",ao-the-ridge,Corner Kick,"Corner kick n stick
DATE: 2024-06-07
AO: ao-the-ridg",f3crossroads
"Jun 7, 2024",2nd-f,Caboose,"Taco Friday 
DATE: 2024-06-07
AO: 2nd-f
Q: Caboose
P",f3crossroads
"Jun 7, 2024",2nd-f,Foreclosure,"Friday ?? Bikes & ? Brews
DATE: 2024-06-07
AO: 2nd-f",f3crossroads
"Jun 7, 2024",2nd-f-coffeteria,Zimmer,"Stanley Cup n coffee
DATE: 2024-06-07
AO: 2nd-f-coff",f3crossroads
"Jun 6, 2024",downrange,Slackbot,"VQ at BP
DATE: 2024-06-06
AO: downrange
Q: Slackbot
",f3crossroads
"Jun 6, 2024",2nd-f-coffeteria,Zimmer,"Pull-up celebrates 6
DATE: 2024-06-06
AO: 2nd-f-coff",f3crossroads
"Jun 6, 2024",downrange,F3CrossroadsIL,"2 Wolfs
DATE: 2024-06-06
AO: downrange
Q: F3Crossroa",f3crossroads
"Jun 6, 2024",ao-the-colosseum,Alexa,"Football Punishment 
DATE: 2024-06-06
AO: ao-the-col",f3crossroads
"Jun 6, 2024",ao-the-colosseum,Bunker,"Bunkers bear crawl
DATE: 2024-06-06
AO: ao-the-colos",f3crossroads
"Jun 6, 2024",ao-three-rivers,Doogie Howser,"The Doctor is In
DATE: 2024-06-06
AO: ao-three-river",f3crossroads
"Jun 6, 2024",ao-black-diamond,Sparkler,"FBI Fitness Test - Black Diamond Style
DATE: 2024-06",f3crossroads
"Jun 6, 2024",ao-the-ridge,Pull-up,"Golden 6
DATE: 2024-06-06
AO: ao-the-ridge
Q: Pull-u",f3crossroads
"Jun 6, 2024",ao-the-olympiad,Foundation,"Tabata, the Foundation of a good workout
DATE: 2024-",f3crossroads
"Jun 6, 2024",3rd-f-qsource,Quatro,"Quatro Positive Habits Transfer
DATE: 2024-06-06
AO:",f3crossroads
"Jun 5, 2024",ao-the-ridge,Scat,"Run Club
DATE: 2024-06-05
AO: ao-the-ridge
Q: Scat
P",f3crossroads
"Jun 5, 2024",downrange,F3CrossroadsIL,"F3 NOCO St. Louis The Tank
DATE: 2024-06-05
AO: down",f3crossroads
"Jun 5, 2024",ao-the-silo,Bedpan,"Modify the exercise, not the intensity 
DATE: 2024-0",f3crossroads
"Jun 5, 2024",downrange,Slackbot,"F3 Metro Hump Day Smackown
DATE: 2024-06-05
AO: down",f3crossroads
"Jun 5, 2024",ao-three-rivers-pm,Squidward,"Squidwards D Day
DATE: 2024-06-05
AO: ao-three-river",f3crossroads
"Jun 5, 2024",ao-the-wood,Dauber,"Dauber’s Tire Callout
DATE: 2024-06-05
AO: ao-the-wo",f3crossroads
"Jun 5, 2024",ao-ravens-nest,Foreclosure,"Foreclosure's Hub n Spoke
DATE: 2024-06-05
AO: ao-ra",f3crossroads
"Jun 4, 2024",2nd-f-coffeteria,Hanger,"Tire Flip
DATE: 2024-06-04
AO: 2nd-f-coffeteria
Q: H",f3crossroads
"Jun 4, 2024",2nd-f-coffeteria,Den Mother,"TRFC!
DATE: 2024-06-04
AO: 2nd-f-coffeteria
Q: Den M",f3crossroads
"Jun 4, 2024",downrange,F3CrossroadsIL,"Mud Puddle on Q (St Simon’s Island, GA)
DATE: 2024-0",f3crossroads
"Jun 4, 2024",ao-the-colosseum,Zimmer,"Zimmer's Beatdown
DATE: 2024-06-04
AO: ao-the-coloss",f3crossroads
"Jun 4, 2024",downrange,Storm Chaser,"F3Metro Punchbowl
DATE: 2024-06-04
AO: downrange
Q: ",f3crossroads
"Jun 4, 2024",ao-three-rivers,Soft Hands,"Soft Hand's Build-a-Beatdown AO Tour
DATE: 2024-06-0",f3crossroads
"Jun 4, 2024",downrange,Slackbot,"F3 Southside The Patriot 
DATE: 2024-06-04
AO: downr",f3crossroads
"Jun 4, 2024",ao-black-diamond,Juanita,"The Possible Mile
DATE: 2024-06-04
AO: ao-black-diam",f3crossroads
"Jun 4, 2024",ao-the-ridge,Octomom,"Octo-heater!
DATE: 2024-06-04
AO: ao-the-ridge
Q: Oc",f3crossroads
"Jun 4, 2024",ao-the-wood,Squidward,"Remembering D-Day
DATE: 2024-06-04
AO: ao-the-wood
Q",f3crossroads
"Jun 4, 2024",ao-dmz,Bob Villa,"4 corners beat down
DATE: 2024-06-04
AO: ao-dmz
Q: B",f3crossroads
"Jun 4, 2024",ao-el-coyote,Hank Hill,"Tribute to Finch, his dad and D-Day!
DATE: 2024-06-0",f3crossroads
"Jun 3, 2024",2nd-f-coffeteria,Millville,"Coffeeteria on The Island ?️ ☕️ 
DATE: 2024-06-03
AO",f3crossroads
"Jun 3, 2024",2nd-f-coffeteria,Dilly Dilly,"The Return of Mr. Drippy
DATE: 2024-06-03
AO: 2nd-f-",f3crossroads
"Jun 3, 2024",ao-the-colosseum,Norm,"Norm’s First Run Club Q
DATE: 2024-06-03
AO: ao-the-",f3crossroads
"Jun 3, 2024",ao-the-grove,Deja vu,"Circuit de Deja Vu
DATE: 2024-06-03
AO: ao-the-grove",f3crossroads
"Jun 3, 2024",ao-three-rivers-pm,BABYMOMMA,"Baby Momma's Pre BBQ ruck
DATE: 2024-06-03
AO: ao-th",f3crossroads
"Jun 3, 2024",ao-buck-town,Dog House,"3thang 
DATE: 2024-06-03
AO: ao-buck-town
Q: Dog Hou",f3crossroads
"Jun 3, 2024",downrange,Millville,"Millville’s Island Tour Beat Down
DATE: 2024-06-03
A",f3crossroads
"Jun 3, 2024",ao-the-wood,Yellow Card,"Yellow Cards 3 Thang Burner
DATE: 2024-06-03
AO: ao-",f3crossroads
"Jun 3, 2024",ao-the-ridge,Picasso,"Picasso’s farewell for now.
DATE: 2024-06-03
AO: ao-",f3crossroads
"Jun 3, 2024",2nd-f,Norm,"First Monday of the month BBQ
DATE: 2024-06-03
AO: 2",f3crossroads
"Jun 2, 2024",2nd-f,Schlitz,"New dog Sunday Ruck
DATE: 2024-06-02
AO: 2nd-f
Q: Sc",f3crossroads
"Jun 2, 2024",3rd-f,Homer Simpson,"Flanders' Ms Pink Heels visit
DATE: 2024-06-02
AO: 3",f3crossroads
"Jun 1, 2024",2nd-f-coffeteria,Foreclosure,"Coffee after Millville 2yr Manniversary
DATE: 2024-0",f3crossroads
"Jun 1, 2024",downrange,Slackbot,"DR BP DJ 100th Q
DATE: 2024-06-01
AO: downrange
Q: S",f3crossroads
"Jun 1, 2024",ao-the-colosseum,Chum Bucket,"Chum Buckets Home Run Derby
DATE: 2024-06-01
AO: ao-",f3crossroads
"Jun 1, 2024",ao-da-grizz,Ozark,"Ozark guided Trail Trek
DATE: 2024-06-01
AO: ao-da-g",f3crossroads
"Jun 1, 2024",ao-the-ridge,vern,"Vern’s Basketball Extravaganza 
DATE: 2024-06-01
AO:",f3crossroads
"Jun 1, 2024",2nd-f-coffeteria,Hanger,"Hanger 
DATE: 2024-06-01
AO: 2nd-f-coffeteria
Q: Han",f3crossroads
"Jun 1, 2024",ao-the-wood,Rooney,"Rooney’s Saturday Ruck
DATE: 2024-06-01
AO: ao-the-w",f3crossroads
"Jun 1, 2024",ao-the-wood,Millville,"Millville’s MANNIVERSARY!!! 
DATE: 2024-06-01
AO: ao",f3crossroads
"Jun 1, 2024",2nd-f,Deja vu,"Congrats to the happy couple
DATE: 2024-06-01
AO: 2n",f3crossroads
"May 31, 2024",2nd-f-coffeteria,Zimmer,@Dillly Dilly brought the drip for all at the OG TR!,f3crossroads
"May 31, 2024",2nd-f-coffeteria,Foreclosure,"COFFEE
DATE: 2024-05-31
AO: 2nd-f-coffeteria
Q: Fore",f3crossroads
"May 31, 2024",2nd-f-coffeteria,Millville,"Banging steps and banging coffee ☕️ 
DATE: 2024-05-3",f3crossroads
"May 31, 2024",2nd-f-coffeteria,Hanger,"Last Dance
DATE: 2024-05-31
AO: 2nd-f-coffeteria
Q: ",f3crossroads
"May 31, 2024",2nd-f-coffeteria,Dilly Dilly,"Mr. Drippy's hot & delicious coffee
DATE: 2024-05-31",f3crossroads
"May 31, 2024",ao-the-colosseum,Second City,"Are you not entertained!?!?
DATE: 2024-05-31
AO: ao-",f3crossroads
"May 31, 2024",ao-the-olympiad,Millville,"Millville Galloping Backwards 
DATE: 2024-05-31
AO: ",f3crossroads
"May 31, 2024",ao-three-rivers,Hatchet (Lizard Q),"Playing fetch with Hatchet
DATE: 2024-05-31
AO: ao-t",f3crossroads
"May 31, 2024",downrange,F3CrossroadsIL,"Black Diamond Lift Club Dark Tower 
DATE: 2024-05-31",f3crossroads
"May 31, 2024",ao-da-grizz,Sparkler,"No Coupon Required 
DATE: 2024-05-31
AO: ao-da-grizz",f3crossroads
"May 31, 2024",2nd-f-coffeteria,Ozark,"Coffee at Da Grizz
DATE: 2024-05-31
AO: 2nd-f-coffet",f3crossroads
"May 31, 2024",ao-the-ridge,Caboose,"The Caboose that was at the Front 
DATE: 2024-05-31
",f3crossroads
"May 30, 2024",downrange,Slackbot,"The Battery F3 City of St. Louis
DATE: 2024-05-30
AO",f3crossroads
"May 30, 2024",3rd-f-qsource,Dilly Dilly,"Q2.3 - Missionality
DATE: 2024-05-30
AO: 3rd-f-qsour",f3crossroads
"May 30, 2024",ao-three-rivers,Flamingo,"Brought to you by the Letter ""B""
DATE: 2024-05-30
AO",f3crossroads
"May 30, 2024",ao-black-diamond,Den Mother,"Black Diamond North at DMZ
DATE: 2024-05-30
AO: ao-b",f3crossroads
"May 30, 2024",ao-the-ridge,Dilbert,"Dilbert Q for Friday 5/30
DATE: 2024-05-30
AO: ao-th",f3crossroads
"May 30, 2024",ao-the-colosseum,Cutler,"Cutlers Clingmans Dome
DATE: 2024-05-30
AO: ao-the-c",f3crossroads
"May 30, 2024",2nd-f,Squidward,"Behind the scenes work aka gettin’ shit done
DATE: 2",f3crossroads
"May 30, 2024",ao-the-olympiad,Bob Villa,"Bob Villa’s Board of Pain
DATE: 2024-05-30
AO: ao-th",f3crossroads
"May 29, 2024",2nd-f-coffeteria,Millville,"Coffeeteria after Big Trouble beatdown
DATE: 2024-05",f3crossroads
"May 29, 2024",ao-dmz,Broomstick,"Broomstick tour of the AO
DATE: 2024-05-29
AO: ao-dm",f3crossroads
"May 29, 2024",ao-the-silo,Gisele -,"???PAT M
DATE: 2024-05-29
AO: ao-the-silo
Q: Gisele ",f3crossroads
"May 29, 2024",ao-three-rivers-pm,Farmers Only,"Farmers only Modified Murph
DATE: 2024-05-29
AO: ao-",f3crossroads
"May 29, 2024",downrange,Soft Hands,"OTB
DATE: 2024-05-29
AO: downrange
Q: Soft Hands
PAX",f3crossroads
"May 29, 2024",ao-the-ridge,Foundation,"Run Club
DATE: 2024-05-29
AO: ao-the-ridge
Q: Founda",f3crossroads
"May 29, 2024",ao-the-colosseum,Bunker,"Bunker's 3:1 Ruck and Ruffle
DATE: 2024-05-29
AO: ao",f3crossroads
"May 29, 2024",2nd-f-coffeteria,Hanger,"Run club 
DATE: 2024-05-29
AO: 2nd-f-coffeteria
Q: H",f3crossroads
"May 29, 2024",ao-the-wood,Millville,"Dragons and Demons 
DATE: 2024-05-29
AO: ao-the-wood",f3crossroads
"May 29, 2024",ao-ravens-nest,Cowbell,"Clang and Bang: Cowbell's Nest Adventure
DATE: 2024-",f3crossroads
"May 29, 2024",3rd-f,Chum Bucket,"FMSC with F3 Naperville
DATE: 2024-05-29
AO: 3rd-f
Q",f3crossroads
"May 28, 2024",2nd-f-coffeteria,Millville,"Run Club crew ☕️ at The Wood 
DATE: 2024-05-28
AO: 2",f3crossroads
"May 28, 2024",downrange,Slackbot,"late start outpost
DATE: 2024-05-28
AO: downrange
Q:",f3crossroads
"May 28, 2024",ao-the-wood,Millville,"Recovery Run
DATE: 2024-05-28
AO: ao-the-wood
Q: Mil",f3crossroads
"May 28, 2024",ao-the-colosseum,Alexa,"Alexa VQ2
DATE: 2024-05-28
AO: ao-the-colosseum
Q: A",f3crossroads
"May 28, 2024",ao-three-rivers,Ricola,"Ricola's MURPH Recovery 
DATE: 2024-05-28
AO: ao-thr",f3crossroads
"May 28, 2024",ao-black-diamond,Foreclosure,"EmBEARass and Leg Day
DATE: 2024-05-28
AO: ao-black-",f3crossroads
"May 28, 2024",ao-the-ridge,TPS Report,"Team Comp Beatdown 
DATE: 2024-05-28
AO: ao-the-ridg",f3crossroads
"May 28, 2024",ao-el-coyote,Boomer,"22's 
DATE: 2024-05-28
AO: ao-the-colosseum-pm
Q: Bo",f3crossroads
"May 27, 2024",2nd-f-coffeteria,Binford,"Memorial Coffee
DATE: 2024-05-27
AO: 2nd-f-coffeteri",f3crossroads
"May 27, 2024",ao-the-ridge,Jellystone,"Countryman Memorial Day
DATE: 2024-05-27
AO: ao-the-",f3crossroads
"May 27, 2024",ao-the-grove,T-Dubs (Outlands),"Murph @ The Grove
DATE: 2024-05-27
AO: ao-the-grove
",f3crossroads
"May 27, 2024",ao-buck-town,YellowPages,"Biking 
DATE: 2024-05-27
AO: ao-buck-town
Q: YellowP",f3crossroads
