user,team,week,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,workout Q,QSQ,hardsh!t,ao_list
Pee Wee Herman,Blitzen,0,0,6,0,0,0,0,0,5,0,0,0,0,the-colosseum
Pee Wee Herman,Blitzen,1,0,6,0,0,0,0,5,0,0,0,0,0,"the-colosseum, the-grove"
Pee Wee Herman,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Pee Wee Herman,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Pee Wee Herman,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Pee Wee Herman,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Pee Wee Herman,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Pretzel,Blitzen,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pretzel,Blitzen,1,0,0,0,0,0,0,0,0,0,0,0,0,
Pretzel,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Pretzel,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Pretzel,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Pretzel,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Pretzel,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Sailer Moon,Blitzen,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sailer Moon,Blitzen,1,0,0,0,0,0,0,0,0,0,0,0,0,
Sailer Moon,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Sailer Moon,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Sailer Moon,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Sailer Moon,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Sailer Moon,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Schlitz,Blitzen,0,0,6,0,0,0,3,0,5,0,0,0,0,the-colosseum
Schlitz,Blitzen,1,3,3,0,0,0,0,0,5,3,1,0,0,the-grove
Schlitz,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Schlitz,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Schlitz,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Schlitz,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Schlitz,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Senor Frog,Blitzen,0,0,0,0,0,0,0,0,0,0,0,0,0,
Senor Frog,Blitzen,1,0,0,0,0,0,0,0,0,0,0,0,0,
Senor Frog,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Senor Frog,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Senor Frog,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Senor Frog,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Senor Frog,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
SkidMark,Blitzen,0,0,0,0,0,0,0,0,0,0,0,0,0,
SkidMark,Blitzen,1,2,3,0,0,0,0,0,0,0,0,0,0,the-grove
SkidMark,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
SkidMark,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
SkidMark,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
SkidMark,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
SkidMark,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Woody,Blitzen,0,0,0,0,0,0,0,0,0,0,0,0,0,
Woody,Blitzen,1,0,3,0,0,0,0,0,0,0,0,0,0,the-grove
Woody,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Woody,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Woody,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Woody,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Woody,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Xena- Warrior Princess,Blitzen,0,0,6,0,0,0,0,0,5,0,0,0,0,the-colosseum
